variant,precision,opt,fastmath,riemann,solver,profile,case,subdir,nx,ny,t_end,finite,rc,steps,divB_mean,divB_max,walltime_s,dx,dy,symmetry_residual_rho,is_reference,L1_rho,L2_rho,Linf_rho,L1_By,L2_By,Linf_By,L1_p,L2_p,Linf_p,L1_vx,L2_vx,Linf_vx
cpu-double-Ofast-fastmath-leq,double,Ofast,True,leq,hlld,headline,orszag_tang.cfg,headline256,256,256,0.5,True,0,812,0.274,24.45,28.024547399953008,0.00390625,0.00390625,6.151394500633748e-13,False,3.3910400529246765e-12,1.6123450600274522e-12,8.836043008386696e-12,9.649291090663077e-13,1.9995677896118713e-13,4.5469183973523286e-13,2.566677773097048e-12,4.776838131668716e-13,1.1013412404281553e-12,7.99177115310499e-13,1.4213656049780748e-13,3.356204203441848e-13
cpu-double-Ofast-fastmath-strict,double,Ofast,True,strict,hlld,headline,orszag_tang.cfg,headline256,256,256,0.5,True,0,812,0.274,24.45,27.805404099985026,0.00390625,0.00390625,6.151394500633748e-13,False,3.3910400529246765e-12,1.6123450600274522e-12,8.836043008386696e-12,9.649291090663077e-13,1.9995677896118713e-13,4.5469183973523286e-13,2.566677773097048e-12,4.776838131668716e-13,1.1013412404281553e-12,7.99177115310499e-13,1.4213656049780748e-13,3.356204203441848e-13
cpu-float-O2-ieee-leq,float,O2,False,leq,hlld,headline,orszag_tang.cfg,headline256,256,256,0.5,True,0,812,0.274,24.45,24.25106409995351,0.00390625,0.00390625,2.2795131744704374e-05,False,0.0013595078797217705,0.000634363983480125,0.003121124636215278,0.00035629684621358193,8.847011918118415e-05,0.0002854978853115142,0.000976910162187921,0.00033247878141328703,0.0011231755439795599,0.0002993499605889998,8.069728982270447e-05,0.0003232887345890889
cpu-float-O2-ieee-strict,float,O2,False,strict,hlld,headline,orszag_tang.cfg,headline256,256,256,0.5,True,0,812,0.274,24.45,24.233459200011566,0.00390625,0.00390625,9.937520198211786e-05,False,0.0013694519708907713,0.0006363962860597501,0.0031201709618988716,0.0003589260455675957,8.881830243087725e-05,0.00028466342028465874,0.0009829690153863545,0.00033378392881254834,0.0011202696775574061,0.0003001029574638913,8.098977053633776e-05,0.0003227586344911604
cpu-float-O2-fastmath-leq,float,O2,True,leq,hlld,headline,orszag_tang.cfg,headline256,256,256,0.5,True,0,812,0.274,24.45,24.45698880008422,0.00390625,0.00390625,4.1973820647210925e-05,False,0.0014521098293062973,0.0006384491050093952,0.0031130184045258247,0.0003992088951251765,8.957883405076591e-05,0.0002863323502986237,0.0011243631490065837,0.00033774943676456026,0.0011033004991269912,0.0003286307007585508,8.002322629601749e-05,0.00032696992565339755
cpu-float-O2-fastmath-strict,float,O2,True,strict,hlld,headline,orszag_tang.cfg,headline256,256,256,0.5,True,0,812,0.274,24.45,24.121171699953265,0.00390625,0.00390625,0.00015108269390253792,False,0.0014680663931278051,0.000649199274838744,0.003114448916746504,0.00039846617289128656,9.052277117635383e-05,0.0002862131410488189,0.00112033736171603,0.0003400288987629414,0.001109601905719515,0.0003379096024291497,8.315961651606728e-05,0.0003266303222465572
cpu-float-O3-ieee-leq,float,O3,False,leq,hlld,headline,orszag_tang.cfg,headline256,256,256,0.5,True,0,812,0.274,24.45,24.307312400080264,0.00390625,0.00390625,2.2795131744704374e-05,False,0.0013595078797217705,0.000634363983480125,0.003121124636215278,0.00035629684621358193,8.847011918118415e-05,0.0002854978853115142,0.000976910162187921,0.00033247878141328703,0.0011231755439795599,0.0002993499605889998,8.069728982270447e-05,0.0003232887345890889
cpu-float-O3-ieee-strict,float,O3,False,strict,hlld,headline,orszag_tang.cfg,headline256,256,256,0.5,True,0,812,0.274,24.45,24.416844200110063,0.00390625,0.00390625,9.937520198211786e-05,False,0.0013694519708907713,0.0006363962860597501,0.0031201709618988716,0.0003589260455675957,8.881830243087725e-05,0.00028466342028465874,0.0009829690153863545,0.00033378392881254834,0.0011202696775574061,0.0003001029574638913,8.098977053633776e-05,0.0003227586344911604
cpu-float-O3-fastmath-leq,float,O3,True,leq,hlld,headline,orszag_tang.cfg,headline256,256,256,0.5,True,0,812,0.274,24.45,24.012921100016683,0.00390625,0.00390625,4.1973820647210925e-05,False,0.0014521098293062973,0.0006384491050093952,0.0031130184045258247,0.0003992088951251765,8.957883405076591e-05,0.0002863323502986237,0.0011243631490065837,0.00033774943676456026,0.0011033004991269912,0.0003286307007585508,8.002322629601749e-05,0.00032696992565339755
cpu-float-O3-fastmath-strict,float,O3,True,strict,hlld,headline,orszag_tang.cfg,headline256,256,256,0.5,True,0,812,0.274,24.45,24.056443299981765,0.00390625,0.00390625,0.00015108269390253792,False,0.0014680663931278051,0.000649199274838744,0.003114448916746504,0.00039846617289128656,9.052277117635383e-05,0.0002862131410488189,0.00112033736171603,0.0003400288987629414,0.001109601905719515,0.0003379096024291497,8.315961651606728e-05,0.0003266303222465572
cpu-float-Ofast-ieee-leq,float,Ofast,False,leq,hlld,headline,orszag_tang.cfg,headline256,256,256,0.5,True,0,812,0.274,24.45,23.94842609995976,0.00390625,0.00390625,4.1973820647210925e-05,False,0.0014521098293062973,0.0006384491050093952,0.0031130184045258247,0.0003992088951251765,8.957883405076591e-05,0.0002863323502986237,0.0011243631490065837,0.00033774943676456026,0.0011033004991269912,0.0003286307007585508,8.002322629601749e-05,0.00032696992565339755
cpu-float-Ofast-ieee-strict,float,Ofast,False,strict,hlld,headline,orszag_tang.cfg,headline256,256,256,0.5,True,0,812,0.274,24.45,24.116911300108768,0.00390625,0.00390625,0.00015108269390253792,False,0.0014680663931278051,0.000649199274838744,0.003114448916746504,0.00039846617289128656,9.052277117635383e-05,0.0002862131410488189,0.00112033736171603,0.0003400288987629414,0.001109601905719515,0.0003379096024291497,8.315961651606728e-05,0.0003266303222465572
cpu-float-Ofast-fastmath-leq,float,Ofast,True,leq,hlld,headline,orszag_tang.cfg,headline256,256,256,0.5,True,0,812,0.274,24.45,24.089376299991272,0.00390625,0.00390625,4.1973820647210925e-05,False,0.0014521098293062973,0.0006384491050093952,0.0031130184045258247,0.0003992088951251765,8.957883405076591e-05,0.0002863323502986237,0.0011243631490065837,0.00033774943676456026,0.0011033004991269912,0.0003286307007585508,8.002322629601749e-05,0.00032696992565339755
cpu-float-Ofast-fastmath-strict,float,Ofast,True,strict,hlld,headline,orszag_tang.cfg,headline256,256,256,0.5,True,0,812,0.274,24.45,24.304439999978058,0.00390625,0.00390625,0.00015108269390253792,False,0.0014680663931278051,0.000649199274838744,0.003114448916746504,0.00039846617289128656,9.052277117635383e-05,0.0002862131410488189,0.00112033736171603,0.0003400288987629414,0.001109601905719515,0.0003379096024291497,8.315961651606728e-05,0.0003266303222465572
